Stock_Name,Beta,Cluster
KMX,1.1885384252768088,0
CCL,1.5146550550322497,1
CARR,1.1596860041571477,0
CTLT,1.1735802060716027,0
CAT,1.1424118349892451,0
CBOE,0.6329136608629624,2
CBRE,1.396069585325705,1
CDW,1.1147524520227012,0
CE,1.3640741691874139,3
CNC,1.0011244966247765,0
CNP,0.8371465329880065,0
CDAY,1.7163632005888712,1
CF,1.1029361603381105,0
CRL,1.0849794531755572,0
SCHW,1.2408153413529701,3
CHTR,0.7991718425998544,2
CVX,1.034287797176603,0
CMG,0.9143697327336826,0
CB,0.8645106404720541,0
CHD,0.5032021791223099,2
CI,0.954627897607561,0
CINF,0.9952917723046705,0
CTAS,1.0538663543504387,0
CSCO,1.0140806052140126,0
C,1.457810167011257,1
CFG,1.380528355053367,3
CLX,0.3898878250362605,2
CME,0.8667851705647746,0
CMS,0.5758004381239857,2
KO,0.6179317858276596,2
CTSH,1.1474787583562842,0
CL,0.5678014651972545,2
CMCSA,0.9097803995758977,0
CMA,1.3024111393042062,3
CAG,0.48503668054086796,2
COP,1.150464660624203,0
ED,0.45659944516286144,2
STZ,0.8541658267646514,0
CEG,1.203366129709032,3
COO,0.8835897546216122,0
CPRT,0.9619120467259096,0
GLW,1.2235717669605732,3
CTVA,1.2344009997825032,3
CSGP,1.0785249555642746,0
COST,0.6978635863828554,2
CTRA,0.9677240677130405,0
CCI,0.7627677089017979,2
CSX,1.1265337904607409,0
CMI,1.1526749826927307,0
CVS,0.7674249048127958,2
DHI,1.2177875949732595,3
DHR,0.9389000872930464,0
DRI,1.0623077915844297,0
DVA,0.7436510335639599,2
DE,1.0551910441247605,0
DAL,1.2596154106199549,3
XRAY,0.9173557385407984,0
DVN,1.4231462207048675,1
DXCM,1.1619600394515188,0
FANG,1.2976036145374577,3
DLR,0.7762516860012321,2
DFS,1.4221082563575005,1
DISH,1.2616413160149726,3
DIS,1.0235990448231338,0
DG,0.5801882786706403,2
DLTR,0.7000806480896483,2
D,0.6004456563701593,2
DPZ,0.7243083932217687,2
DOV,1.1585941112130016,0
DOW,1.5077894054936494,1
DTE,0.6766313292817134,2
DUK,0.5431303044691965,2
DD,1.2685210782593506,3
DXC,1.4421008254287293,1
EMN,1.2298098304090308,3
ETN,1.2260497604371718,3
EBAY,0.9642795944731317,0
ECL,0.9853706394721649,0
EIX,0.6809188197930027,2
EW,0.9340615755800358,0
EA,0.882006846164171,0
ELV,0.929567028028494,0
LLY,0.6722499324683948,2
EMR,1.13149651302333,0
ENPH,1.6055419427287867,1
ETR,0.6550332095228388,2
EOG,1.2227697925523622,3
EPAM,1.2959941491441547,3
EQT,1.0158308357157448,0
EFX,0.9653524552877577,0
EQIX,0.9217016353966017,0
EQR,0.8536561129506138,0
ESS,0.8355241195945787,0
EL,1.0213028956014616,0
ETSY,1.507022251308879,1
RE,0.7899410455780426,2
EVRG,0.6612246774220765,2
ES,0.6255874423858925,2
EXC,0.7235799920687734,2
EXPE,1.2119492371124765,3
EXPD,0.9074480370894148,0
EXR,0.7814547123921505,2
XOM,0.9124266678652564,0
FFIV,1.1036019853530394,0
FDS,0.9524603180130947,0
FICO,1.295533180249727,3
FAST,1.0160056448753505,0
FRT,0.887592446363105,0
FDX,1.1194859287326286,0
FITB,1.3944166239768694,1
